"ID","X","Y","Date","OCSKGM","type","top","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005"
"data1153",-63.216778,-38.886111,2010-04-06,3.70721168770306,"SP",0,3.70721168770306,3.70721168770306,3.70721168770306,3.70721168770306,3.70721168770306,3.70721168770306,3.70721168770306,3.70721168770306,3.70721168770306,3.70721168770306,3.70721168770306
"data1154",-63.063861,-38.862917,2010-04-07,3.78715819354387,"SP",0,3.78715819354387,3.78715819354387,3.78715819354387,3.78715819354387,3.78715819354387,3.78715819354387,3.78715819354387,3.78715819354387,3.78715819354387,3.78715819354387,3.78715819354387
"data1155",-62.972111,-38.846611,2010-04-07,3.28498670808683,"SP",0,3.28498670808683,3.28498670808683,3.28498670808683,3.28498670808683,3.28498670808683,3.28498670808683,3.28498670808683,3.28498670808683,3.28498670808683,3.28498670808683,3.28498670808683
"data1156",-62.970722,-38.848167,2010-04-07,3.99112186388782,"SP",0,3.99112186388782,3.99112186388782,3.99112186388782,3.99112186388782,3.99112186388782,3.99112186388782,3.99112186388782,3.99112186388782,3.99112186388782,3.99112186388782,3.99112186388782
"data1157",-63.4397,-31.2272,2008-09-23,6.31331830976351,"SP",0,6.45978729455002,6.44147867145171,6.42317004835339,6.40486142525508,6.38655280215677,6.36824417905845,6.34993555596014,6.33162693286182,6.24640344899833,6.16117996513483,6.07595648127133
"data1158",-63.2236,-34.0172,1978-11-01,5.94052950377999,"SP",0,4.85578881638976,4.85578881638976,4.85578881638976,4.85578881638976,4.85578881638976,4.85578881638976,4.85578881638976,4.85578881638976,4.85578881638976,4.85578881638976,4.85578881638976
"data1159",-62.9697,-32.1389,1972-10-17,6.11475196005732,"SP",0,5.59475345337405,5.59475345337405,5.59475345337405,5.59475345337405,5.59475345337405,5.59475345337405,5.59475345337405,5.59475345337405,5.59475345337405,5.59475345337405,5.59475345337405
"data1160",-62.2203,-33.5406,1972-12-20,4.79440667269815,"SP",0,4.3866903292519,4.3866903292519,4.3866903292519,4.3866903292519,4.3866903292519,4.3866903292519,4.3866903292519,4.3866903292519,4.3866903292519,4.3866903292519,4.3866903292519
"data1161",-59.739611,-29.25875,1994-01-01,5.22180977873809,"SP",0,5.22180977873809,5.22180977873809,5.22180977873809,5.22180977873809,5.22180977873809,5.22180977873809,5.22180977873809,5.22180977873809,5.22180977873809,5.22180977873809,5.22180977873809
"data1162",-63.8069,-31.6164,1975-06-12,1.17828080267965,"SP",0,1.02767295048114,1.02767295048114,1.02767295048114,1.02767295048114,1.02767295048114,1.02767295048114,1.02767295048114,1.02767295048114,1.02767295048114,1.02767295048114,1.02767295048114
"data1163",-62.4892,-32.7411,1969-02-22,5.60009835170285,"SP",0,5.36343819535989,5.36343819535989,5.36343819535989,5.36343819535989,5.36343819535989,5.36343819535989,5.36343819535989,5.36343819535989,5.36343819535989,5.36343819535989,5.36343819535989
"data1164",-64.5756,-33.0203,1982-04-27,3.42025337872279,"SP",0,2.5458998049861,2.5458998049861,2.5458998049861,2.5458998049861,2.5458998049861,2.5458998049861,2.5458998049861,2.5458998049861,2.5458998049861,2.5458998049861,2.5458998049861
