"ID","X","Y","Date","CO_0-30","MaxDepth","Source"
"1664",-58.559496,-30.532423,1972-03-22,1.70444506595867,120,"sisINTA"
"1665",-58.767247,-27.889046,1980-02-11,1.25597389025061,102,"sisINTA"
"1667",-58.52307,-30.444054,1972-03-22,2.62213674253668,50,"sisINTA"
"1668",-58.865303,-30.582904,1972-03-23,1.07474034395261,130,"sisINTA"
"1669",-58.864633,-30.453651,1972-03-23,2.11032391248619,140,"sisINTA"
"1670",-58.899216,-30.451231,1972-03-23,1.43967368166619,115,"sisINTA"
"1671",-58.547802,-30.449619,1972-03-23,1.95740833272877,130,"sisINTA"
"1672",-59.038807,-30.42972,1972-03-24,2.29922539985037,140,"sisINTA"
"1673",-58.931917,-28.57025,1972-04-21,0.984170337259794,108,"sisINTA"
"1674",-58.820262,-30.320785,1972-04-11,1.48668310757619,100,"sisINTA"
"1675",-59.054462,-30.43697,1972-04-11,1.70444179669338,150,"sisINTA"
"1676",-59.196158,-30.556233,1972-04-11,1.39222604529735,110,"sisINTA"
"1677",-58.65155,-30.278287,1972-11-28,2.24506426327377,130,"sisINTA"
"1678",-58.52307,-30.444054,1972-03-22,3.11180298435124,120,"sisINTA"
"1679",-58.480508,-33.033534,2002-09-10,2.22745017709906,130,"sisINTA"
"1680",-58.253948,-33.043495,2002-09-10,0.208156868559932,110,"sisINTA"
"1681",-59.167392,-33.146654,2002-10-01,0.769073745767549,140,"sisINTA"
"1682",-59.22126,-33.120479,2002-10-01,1.69913252189898,135,"sisINTA"
"1683",-58.875775,-33.057869,2002-10-02,2.25731539120691,150,"sisINTA"
"1684",-58.615952,-32.964478,2002-10-03,1.28602013070098,115,"sisINTA"
"1685",-58.337003,-32.873696,2002-10-04,3.10319734814926,120,"sisINTA"
"1686",-58.626405,-33.265176,2002-10-22,3.98682676029842,130,"sisINTA"
"1687",-58.650694,-33.259098,2002-10-22,2.50798753111933,115,"sisINTA"
"1688",-58.398598,-30.565192,1972-11-29,1.56262505082366,95,"sisINTA"
"1689",-58.25323,-30.541766,1972-11-30,2.58796291784479,124,"sisINTA"
"1690",-58.13582,-30.642713,1972-11-30,1.41779895456453,105,"sisINTA"
"1691",-58.998304,-28.441334,1981-09-17,1.67133942880335,58,"sisINTA"
"1692",-58.031181,-30.965913,1973-08-23,0.304519437173882,150,"sisINTA"
"1693",-58.020789,-30.755671,1973-08-23,1.81386802709682,110,"sisINTA"
"1694",-59.282832,-30.452878,1971-10-06,2.40736199679995,130,"sisINTA"
"1695",-59.324662,-30.468727,1971-10-06,1.27514694840073,115,"sisINTA"
"1697",-58.753348,-33.287471,2002-10-23,1.98077874754755,130,"sisINTA"
"1698",-58.71404,-28.515834,1971-05-13,0.472107766554496,133,"sisINTA"
"1699",-58.796963,-33.262744,2002-10-23,0.800439809953801,77,"sisINTA"
