"ID","X","Y","Date","OCSKGM","Source","type","top","bottom"
"1286",-59.377778,-34.786111,1967-08-11 00:00:00,9.26388216956559,"sisINTA","SP",0,30
"1287",-57.997167,-29.763667,1987-06-15 00:00:00,5.95592634234949,"sisINTA","SP",0,30
"1288",-62.849639,-38.674772,1989-11-01 00:00:00,3.1209915817823,"sisINTA","SP",0,30
"1291",-62.667964,-38.769697,1989-11-01 00:00:00,1.47545756078157,"sisINTA","SP",0,30
"1292",-62.736967,-38.969111,1989-11-01 00:00:00,3.96530591988141,"sisINTA","SP",0,30
"1293",-62.964592,-38.885731,1989-11-01 00:00:00,4.31040661004923,"sisINTA","SP",0,30
"1296",-62.552647,-38.716531,1989-11-01 00:00:00,3.81349033485545,"sisINTA","SP",0,30
"1297",-62.684669,-38.862897,1989-11-01 00:00:00,5.43631212353885,"sisINTA","SP",0,30
"1299",-62.230444,-39.295722,1989-11-01 00:00:00,3.82721097717398,"sisINTA","SP",0,30
"1303",-62.970433,-38.788706,1989-11-01 00:00:00,3.48532050430488,"sisINTA","SP",0,30
"1304",-62.339378,-39.026253,1989-11-01 00:00:00,5.28624490233622,"sisINTA","SP",0,30
"1309",-62.396294,-39.140872,1989-11-01 00:00:00,7.5186831265139,"sisINTA","SP",0,30
"1310",-62.674864,-39.020836,1989-11-01 00:00:00,4.88456044626421,"sisINTA","SP",0,30
"1311",-62.452453,-38.900819,1989-11-01 00:00:00,3.97709282322182,"sisINTA","SP",0,30
"1314",-62.779456,-38.688872,1989-11-01 00:00:00,4.23061367951843,"sisINTA","SP",0,30
"1325",-62.469461,-38.982936,1989-11-01 00:00:00,2.95249679456465,"sisINTA","SP",0,30
"1327",-62.142578,-38.769381,1989-11-01 00:00:00,9.33091385602033,"sisINTA","SP",0,30
"1330",-59.158333,-34.944167,1966-10-24 00:00:00,9.78340621559533,"sisINTA","SP",0,30
"1337",-62.081203,-38.753744,1989-11-01 00:00:00,4.77595193306125,"sisINTA","SP",0,30
"1338",-62.037375,-38.75055,1989-11-01 00:00:00,6.6366152101057,"sisINTA","SP",0,30
"1339",-62.004481,-38.772672,1989-11-01 00:00:00,3.25468533155381,"sisINTA","SP",0,30
"1341",-62.011272,-38.841078,1989-11-01 00:00:00,7.40369969929336,"sisINTA","SP",0,30
"1344",-62.709797,-39.095294,1989-11-01 00:00:00,4.94488939431123,"sisINTA","SP",0,30
"1347",-62.020956,-38.713706,1989-12-01 00:00:00,2.66949441250306,"sisINTA","SP",0,30
"1349",-62.530039,-38.899939,1989-11-01 00:00:00,5.3173767620133,"sisINTA","SP",0,30
"1350",-62.737175,-39.124958,1989-11-01 00:00:00,3.97197326703479,"sisINTA","SP",0,30
"1352",-62.807042,-39.083028,1991-05-01 00:00:00,1.7412370759684,"sisINTA","SP",0,30
"1356",-62.618333,-39.393333,1995-01-01 00:00:00,2.62190779038556,"sisINTA","SP",0,30
"1357",-62.716442,-39.496522,1995-01-01 00:00:00,5.26937869489193,"sisINTA","SP",0,30
"1358",-59.649167,-34.583889,1966-03-25 00:00:00,5.543433070626,"sisINTA","SP",0,30
