"ID","X","Y","Date","OCSKGM","Source","type","top","bottom","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005"
"5078",-68.788167,-41.077639,1983-02-13,3.22612385339308,"sisINTA","SP",0,30,3.22612385339308,3.22612385339308,3.22612385339308,3.22612385339308,3.22612385339308,3.22612385339308,3.22612385339308,3.22612385339308,3.22612385339308,3.22612385339308,3.22612385339308
"5079",-68.777056,-41.082,1983-02-13,2.02391266895131,"sisINTA","SP",0,30,2.02391266895131,2.02391266895131,2.02391266895131,2.02391266895131,2.02391266895131,2.02391266895131,2.02391266895131,2.02391266895131,2.02391266895131,2.02391266895131,2.02391266895131
"508",-60.476947,-34.14250113,1967-03-08,5.46182419153373,"sisINTA","SP",0,30,5.28704581740465,5.28704581740465,5.28704581740465,5.28704581740465,5.28704581740465,5.28704581740465,5.28704581740465,5.28704581740465,5.28704581740465,5.28704581740465,5.28704581740465
"5080",-67.030917,-41.5295,1983-02-16,1.308346934979,"sisINTA","SP",0,30,1.308346934979,1.308346934979,1.308346934979,1.308346934979,1.308346934979,1.308346934979,1.308346934979,1.308346934979,1.308346934979,1.308346934979,1.308346934979
"5082",-67.909806,-41.262972,1983-02-15,1.22022058596316,"sisINTA","SP",0,30,1.22022058596316,1.22022058596316,1.22022058596316,1.22022058596316,1.22022058596316,1.22022058596316,1.22022058596316,1.22022058596316,1.22022058596316,1.22022058596316,1.22022058596316
"5085",-68.551611,-40.798889,1982-12-02,1.0557720364086,"sisINTA","SP",0,30,1.0557720364086,1.0557720364086,1.0557720364086,1.0557720364086,1.0557720364086,1.0557720364086,1.0557720364086,1.0557720364086,1.0557720364086,1.0557720364086,1.0557720364086
"5086",-68.192333,-39.918333,1982-11-28,1.98885737810252,"sisINTA","SP",0,30,1.98885737810252,1.98885737810252,1.98885737810252,1.98885737810252,1.98885737810252,1.98885737810252,1.98885737810252,1.98885737810252,1.98885737810252,1.98885737810252,1.98885737810252
"5087",-68.014083,-39.878722,1982-11-30,2.71627088133041,"sisINTA","SP",0,30,2.71627088133041,2.71627088133041,2.71627088133041,2.71627088133041,2.71627088133041,2.71627088133041,2.71627088133041,2.71627088133041,2.71627088133041,2.71627088133041,2.71627088133041
"5088",-68.425,-40.456861,1982-12-02,1.22125447178915,"sisINTA","SP",0,30,1.22125447178915,1.22125447178915,1.22125447178915,1.22125447178915,1.22125447178915,1.22125447178915,1.22125447178915,1.22125447178915,1.22125447178915,1.22125447178915,1.22125447178915
"5089",-66.135833,-33.801389,1982-04-01,3.72918351052804,"sisINTA","SP",0,30,2.77585503789665,2.77585503789665,2.77585503789665,2.77585503789665,2.77585503789665,2.77585503789665,2.77585503789665,2.77585503789665,2.77585503789665,2.77585503789665,2.77585503789665
"509",-60.01920114,-34.04667789,1965-11-10,7.65986914993986,"sisINTA","SP",0,30,7.35347438394227,7.35347438394227,7.35347438394227,7.35347438394227,7.35347438394227,7.35347438394227,7.35347438394227,7.35347438394227,7.35347438394227,7.35347438394227,7.35347438394227
"5090",-68.433917,-40.455056,1982-12-01,1.61957962065104,"sisINTA","SP",0,30,1.61957962065104,1.61957962065104,1.61957962065104,1.61957962065104,1.61957962065104,1.61957962065104,1.61957962065104,1.61957962065104,1.61957962065104,1.61957962065104,1.61957962065104
"5092",-67.495556,-40.771944,1983-02-14,1.69027364307337,"sisINTA","SP",0,30,1.69027364307337,1.69027364307337,1.69027364307337,1.69027364307337,1.69027364307337,1.69027364307337,1.69027364307337,1.69027364307337,1.69027364307337,1.69027364307337,1.69027364307337
"5094",-68.353806,-39.971194,1982-11-28,1.4360675363998,"sisINTA","SP",0,30,1.4360675363998,1.4360675363998,1.4360675363998,1.4360675363998,1.4360675363998,1.4360675363998,1.4360675363998,1.4360675363998,1.4360675363998,1.4360675363998,1.4360675363998
"5095",-66.190278,-33.642778,1982-04-01,3.17256282438518,"sisINTA","SP",0,30,3.17256282438518,3.17256282438518,3.17256282438518,3.17256282438518,3.17256282438518,3.17256282438518,3.17256282438518,3.17256282438518,3.17256282438518,3.17256282438518,3.17256282438518
"5096",-69.368111,-41.741278,1983-02-10,1.35998311372548,"sisINTA","SP",0,30,1.35998311372548,1.35998311372548,1.35998311372548,1.35998311372548,1.35998311372548,1.35998311372548,1.35998311372548,1.35998311372548,1.35998311372548,1.35998311372548,1.35998311372548
"5098",-70.113222,-41.747472,1983-02-11,1.01199233532031,"sisINTA","SP",0,30,1.01199233532031,1.01199233532031,1.01199233532031,1.01199233532031,1.01199233532031,1.01199233532031,1.01199233532031,1.01199233532031,1.01199233532031,1.01199233532031,1.01199233532031
"5099",-70.854389,-41.00475,1982-11-23,0.936931683394874,"sisINTA","SP",0,30,0.936931683394874,0.936931683394874,0.936931683394874,0.936931683394874,0.936931683394874,0.936931683394874,0.936931683394874,0.936931683394874,0.936931683394874,0.936931683394874,0.936931683394874
"510",-60.14208131,-34.22193207,1965-11-15,8.77361982957588,"sisINTA","SP",0,30,8.42267503639285,8.42267503639285,8.42267503639285,8.42267503639285,8.42267503639285,8.42267503639285,8.42267503639285,8.42267503639285,8.42267503639285,8.42267503639285,8.42267503639285
"5100",-65.99,-33.491667,1982-04-02,4.11428238348554,"sisINTA","SP",0,30,3.0625072349713,3.0625072349713,3.0625072349713,3.0625072349713,3.0625072349713,3.0625072349713,3.0625072349713,3.0625072349713,3.0625072349713,3.0625072349713,3.0625072349713
"5101",-69.879389,-40.788833,1982-04-05,1.54751241841235,"sisINTA","SP",0,30,1.54751241841235,1.54751241841235,1.54751241841235,1.54751241841235,1.54751241841235,1.54751241841235,1.54751241841235,1.54751241841235,1.54751241841235,1.54751241841235,1.54751241841235
