"ID","X","Y","Date","OCSKGM","Source","type","top","bottom","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005","optional"
"1756",-58.514641,-31.20145,1986-06-26,14.1365346661176,"sisINTA","SP",0,30,14.1365346661176,14.1365346661176,14.1365346661176,14.1365346661176,14.1365346661176,14.1365346661176,14.1365346661176,14.1365346661176,14.1365346661176,14.1365346661176,14.1365346661176,TRUE
"1757",-58.408231,-31.216612,1986-06-11,11.3932662950232,"sisINTA","SP",0,30,7.8655008924974,7.8655008924974,7.8655008924974,7.8655008924974,7.8655008924974,7.8655008924974,7.8655008924974,7.8655008924974,7.8655008924974,7.8655008924974,7.8655008924974,TRUE
"1758",-58.7,-35.016667,1971-05-06,7.90435404591406,"sisINTA","SP",0,30,7.90435404591406,7.90435404591406,7.90435404591406,7.90435404591406,7.90435404591406,7.90435404591406,7.90435404591406,7.90435404591406,7.90435404591406,7.90435404591406,7.90435404591406,TRUE
"1759",-59.078246,-30.842555,1991-07-16,9.21739976436041,"sisINTA","SP",0,30,9.21739976436041,9.21739976436041,9.21739976436041,9.21739976436041,9.21739976436041,9.21739976436041,9.21739976436041,9.21739976436041,9.21739976436041,9.21739976436041,9.21739976436041,TRUE
"1760",-60.462927,-32.33738,1989-04-18,7.26302065757377,"sisINTA","SP",0,30,5.40405052026776,5.40405052026776,5.40405052026776,5.40405052026776,5.40405052026776,5.40405052026776,5.40405052026776,5.40405052026776,5.34957786533596,5.42456855362541,5.49955924191486,TRUE
"1761",-60.411978,-32.419653,1989-06-07,7.54270512346918,"sisINTA","SP",0,30,5.61214974711724,5.61214974711724,5.61214974711724,5.61214974711724,5.61214974711724,5.61214974711724,5.61214974711724,5.61214974711724,5.55557945869122,5.63345788909104,5.71133631949086,TRUE
"1762",-60.469509,-32.364363,1990-04-19,0.339467157695569,"sisINTA","SP",0,30,0.260388283310386,0.260388283310386,0.260388283310386,0.260388283310386,0.260388283310386,0.260388283310386,0.260388283310386,0.257842279627669,0.255296275944953,0.258801274348159,0.262306272751366,TRUE
"1763",-60.416419,-32.394356,1989-04-19,1.63938234813609,"sisINTA","SP",0,30,1.21978243613066,1.21978243613066,1.21978243613066,1.21978243613066,1.21978243613066,1.21978243613066,1.21978243613066,1.21978243613066,1.20748706851964,1.22441369126414,1.24134031400865,TRUE
"1764",-60.465376,-32.26943,1989-04-21,7.8385502875426,"sisINTA","SP",0,30,5.83227334144607,5.83227334144607,5.83227334144607,5.83227334144607,5.83227334144607,5.83227334144607,5.83227334144607,5.83227334144607,5.7734842142895,5.85441724600838,5.93535027772726,TRUE
"1765",-60.387732,-32.267644,1990-06-05,11.9880107599708,"sisINTA","SP",0,30,9.1954036534356,9.1954036534356,9.1954036534356,9.1954036534356,9.1954036534356,9.1954036534356,9.1954036534356,9.10549357273582,9.01558349203604,9.13935970313274,9.26313591422944,TRUE
"1766",-60.541389,-32.21686,1989-06-06,10.9768333823278,"sisINTA","SP",0,30,8.167312878121,8.167312878121,8.167312878121,8.167312878121,8.167312878121,8.167312878121,8.167312878121,8.167312878121,8.08498662775354,8.19832243242608,8.31165823709861,TRUE
"1767",-60.518911,-32.23039,1989-06-06,9.26839107695768,"sisINTA","SP",0,30,6.89614638081036,6.89614638081036,6.89614638081036,6.89614638081036,6.89614638081036,6.89614638081036,6.89614638081036,6.89614638081036,6.82663344773318,6.92232958560277,7.01802572347236,TRUE
"1768",-60.417303,-32.125905,1989-06-07,6.6597828813213,"sisINTA","SP",0,30,4.95521145284711,4.95521145284711,4.95521145284711,4.95521145284711,4.95521145284711,4.95521145284711,4.95521145284711,4.95521145284711,4.9052630812372,4.97402533948685,5.04278759773649,TRUE
"1769",-60.434142,-32.092702,1989-06-09,9.0056504505504,"sisINTA","SP",0,30,6.70065421773202,6.70065421773202,6.70065421773202,6.70065421773202,6.70065421773202,6.70065421773202,6.70065421773202,6.70065421773202,6.6331118393529,6.72609518025483,6.81907852115676,TRUE
"1770",-60.612022,-32.092397,1989-06-26,7.47370605719046,"sisINTA","SP",0,30,5.56081099185256,5.56081099185256,5.56081099185256,5.56081099185256,5.56081099185256,5.56081099185256,5.56081099185256,5.56081099185256,5.50475819642363,5.58192421146412,5.65909022650462,TRUE
"1771",-60.566274,-32.014044,1989-06-27,9.14329466738315,"sisINTA","SP",0,30,6.80306839726643,6.80306839726643,6.80306839726643,6.80306839726643,6.80306839726643,6.80306839726643,6.80306839726643,6.80306839726643,6.73449368726106,6.82889820470179,6.92330272214252,TRUE
"1772",-58.86425,-28.528411,1971-07-02,4.47737247173913,"sisINTA","SP",0,30,4.47737247173913,4.47737247173913,4.47737247173913,4.47737247173913,4.47737247173913,4.47737247173913,4.47737247173913,4.47737247173913,4.47737247173913,4.47737247173913,4.47737247173913,TRUE
"1773",-60.218533,-32.200859,1989-06-28,9.71030108828359,"sisINTA","SP",0,30,7.2249495247374,7.2249495247374,7.2249495247374,7.2249495247374,7.2249495247374,7.2249495247374,7.2249495247374,7.2249495247374,7.15212226657528,7.25238112531181,7.35263998404833,TRUE
"1774",-60.180632,-32.197935,1990-06-29,13.7239425576336,"sisINTA","SP",0,30,9.68479412772622,9.68479412772622,9.68479412772622,9.68479412772622,9.68479412772622,9.68479412772622,9.68479412772622,9.64499469430909,9.60519526089195,9.79045476147745,9.97571426206294,TRUE
"1775",-58.980923,-28.520176,1971-03-18,0.649750428612272,"sisINTA","SP",0,30,0.649750428612272,0.649750428612272,0.649750428612272,0.649750428612272,0.649750428612272,0.649750428612272,0.649750428612272,0.649750428612272,0.649750428612272,0.649750428612272,0.649750428612272,TRUE
"1777",-60.183547,-32.15513,1989-06-28,9.70280310727635,"sisINTA","SP",0,30,7.21937065196897,7.21937065196897,7.21937065196897,7.21937065196897,7.21937065196897,7.21937065196897,7.21937065196897,7.21937065196897,7.1465996286644,7.24678107074702,7.34696251282965,TRUE
